longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity
-122.27;37.81;40;880,00;451;582;380;0.977;118800;NEAR BAY
-122.27;37.81;10;875,00;348;546;330;0.76;162500;NEAR BAY
-122.27;37.8;10;105,00;42;125;39;0.9722;137500;NEAR BAY
-122.27;37.8;52;249,00;78;396;85;12.434;500001;NEAR BAY
-122.27;37.8;16;994,00;392;800;362;20.938;162500;NEAR BAY
-122.28;37.8;52;215,00;87;904;88;0.8668;137500;NEAR BAY
-122.28;37.8;52;96,00;31;191;34;0.75;162500;NEAR BAY
-122.27;37.79;27;1055,00;347;718;302;26.354;187500;NEAR BAY
-122.27;37.8;39;1715,00;623;1327;467;18.477;179200;NEAR BAY
-122.26;37.8;36;5329,00;2477;3469;2323;20.096;130000;NEAR BAY
-122.26;37.82;31;4596,00;1331;2048;1180;28.345;183800;NEAR BAY
-122.26;37.81;29;335,00;107;202;91;20.062;125000;NEAR BAY
-122.26;37.82;22;3682,00;1270;2024;1250;12.185;170000;NEAR BAY
-122.26;37.82;37;3633,00;1085;1838;980;26.104;193100;NEAR BAY
-122.25;37.81;29;4656,00;1414;2304;1250;24.912;257800;NEAR BAY
-122.25;37.81;28;5806,00;1603;2563;1497;32.177;273400;NEAR BAY
-122.25;37.81;39;854,00;242;389;228;3.125;237500;NEAR BAY
-122.25;37.81;52;2155,00;701;895;613;25.795;350000;NEAR BAY
-122.26;37.81;34;5871,00;1914;2689;1789;28.406;335700;NEAR BAY
-122.24;37.82;52;1509,00;225;674;244;49.306;313400;NEAR BAY
-122.24;37.81;52;2026,00;482;709;456;32.727;268500;NEAR BAY
-122.25;37.81;52;1758,00;460;686;422;31.691;259400;NEAR BAY
-122.24;37.82;52;3481,00;751;1444;718;3.9;275700;NEAR BAY
-122.25;37.82;28;3337,00;855;1520;802;39.063;225000;NEAR BAY
-122.25;37.82;52;1424,00;289;550;253;50.917;262500;NEAR BAY
-122.25;37.82;32;3809,00;1098;1806;1022;26.429;218500;NEAR BAY
-122.25;37.82;26;3959,00;1196;1749;1217;30.233;255000;NEAR BAY
-122.25;37.83;52;2376,00;559;939;519;31.484;224100;NEAR BAY
-122.25;37.83;35;1613,00;428;675;422;34.722;243100;NEAR BAY
-122.25;37.83;52;1279,00;287;534;291;31.429;231600;NEAR BAY
-122.25;37.83;28;5022,00;1750;2558;1661;24.234;218500;NEAR BAY
-122.25;37.83;52;4190,00;1105;1786;1037;30.897;234100;NEAR BAY
-122.23;37.84;50;2515,00;399;970;373;58.596;327600;NEAR BAY
-122.23;37.84;47;3175,00;454;1098;485;52.868;347600;NEAR BAY
-122.24;37.83;41;2576,00;406;794;376;5.956;366100;NEAR BAY
-122.24;37.85;37;334,00;54;98;47;49.643;335000;NEAR BAY
-122.23;37.85;52;2800,00;411;1061;403;63.434;373600;NEAR BAY
-122.24;37.84;52;3529,00;574;1177;555;51.773;389500;NEAR BAY
-122.24;37.85;52;2612,00;365;901;367;72.354;391100;NEAR BAY
-122.22;37.85;28;5287,00;1048;2031;956;5.457;337300;NEAR BAY
-122.22;37.84;50;2935,00;473;1031;479;7.5;295200;NEAR BAY
-122.21;37.84;44;3424,00;597;1358;597;60.194;292300;NEAR BAY
-122.21;37.83;40;4991,00;674;1616;654;75.544;411500;NEAR BAY
-122.2;37.84;30;2211,00;346;844;343;60.666;311500;NEAR BAY
-122.21;37.84;34;3038,00;490;1140;496;70.548;325900;NEAR BAY
-122.19;37.84;18;1617,00;210;533;194;116.017;392600;NEAR BAY
-122.2;37.84;35;2865,00;460;1072;443;74.882;319300;NEAR BAY
-122.21;37.83;34;5065,00;788;1627;766;68.976;333300;NEAR BAY
-122.19;37.83;28;1326,00;184;463;190;82.049;335200;NEAR BAY
-122.2;37.83;26;1589,00;223;542;211;8.401;351200;NEAR BAY
-122.19;37.83;29;1791,00;271;661;269;68.538;368900;NEAR BAY
-122.19;37.82;32;1835,00;264;635;263;8.317;365900;NEAR BAY
-122.2;37.82;37;1229,00;181;420;176;70.175;366700;NEAR BAY
-122.2;37.82;39;3770,00;534;1265;500;63.302;362800;NEAR BAY
-122.18;37.81;30;292,00;38;126;52;63.624;483300;NEAR BAY
-122.21;37.82;52;2375,00;333;813;350;70.549;331400;NEAR BAY
-122.2;37.81;45;2964,00;436;1067;426;67.851;323500;NEAR BAY
-122.21;37.8;50;2833,00;605;1260;552;28.929;216700;NEAR BAY
-122.21;37.8;38;2254,00;535;951;487;30.812;233100;NEAR BAY
-122.21;37.81;52;1389,00;212;510;224;52.402;296400;NEAR BAY
-122.22;37.81;52;1971,00;335;765;308;65.217;273700;NEAR BAY
-122.22;37.8;52;2183,00;465;1129;460;32.632;227700;NEAR BAY
-122.22;37.8;52;2286,00;464;1073;441;30.298;199600;NEAR BAY
-122.22;37.8;52;2721,00;541;1185;515;45.428;239800;NEAR BAY
-122.22;37.81;52;2024,00;339;756;340;4.072;270100;NEAR BAY
-122.22;37.81;52;2944,00;536;1034;521;53.509;302100;NEAR BAY
-122.23;37.8;52;2033,00;486;787;459;31.603;269500;NEAR BAY
-122.23;37.81;52;1433,00;229;612;213;47.708;314700;NEAR BAY
-122.22;37.81;52;2927,00;402;1021;380;81.564;390100;NEAR BAY
-122.23;37.81;52;2315,00;292;861;258;88.793;410300;NEAR BAY
-122.24;37.81;52;2485,00;313;953;327;68.591;352400;NEAR BAY
-122.24;37.81;52;1490,00;238;634;256;60.302;287300;NEAR BAY
-122.23;37.81;52;2814,00;365;878;352;7.508;348700;NEAR BAY
-122.24;37.81;52;2093,00;550;918;483;27.477;243800;NEAR BAY
-122.24;37.8;52;888,00;168;360;175;21.944;211500;NEAR BAY
-122.25;37.8;52;2087,00;510;1197;488;30.149;218400;NEAR BAY
-122.24;37.81;52;2513,00;502;1048;518;3.675;269900;NEAR BAY
-122.25;37.81;46;3232,00;835;1373;747;3.225;218800;NEAR BAY
-122.25;37.8;42;4120,00;1065;1715;1015;29.345;225000;NEAR BAY
-122.25;37.8;43;2364,00;792;1359;722;21.429;250000;NEAR BAY
-122.25;37.8;41;1471,00;469;1062;413;16.121;171400;NEAR BAY
-122.25;37.8;29;2468,00;864;1335;773;13.929;193800;NEAR BAY
-122.24;37.79;27;1632,00;492;1171;429;23.173;125000;NEAR BAY
-122.25;37.79;45;1786,00;526;1475;460;17.772;97500;NEAR BAY
-122.25;37.79;50;629,00;188;742;196;26.458;125000;NEAR BAY
-122.25;37.79;52;1339,00;391;1086;363;2.181;138800;NEAR BAY
-122.25;37.8;36;1678,00;606;1645;543;22.303;116700;NEAR BAY
-122.25;37.8;43;2344,00;647;1710;644;16.504;151800;NEAR BAY
-122.24;37.8;52;996,00;228;731;228;22.697;127000;NEAR BAY
-122.24;37.8;52;1591,00;373;1118;347;21.563;128600;NEAR BAY
-122.24;37.8;52;1586,00;398;1006;335;21.348;140600;NEAR BAY
-122.24;37.8;47;2046,00;588;1213;554;26.292;182700;NEAR BAY
-122.23;37.8;52;1192,00;289;772;257;23.833;146900;NEAR BAY
-122.24;37.8;52;1803,00;420;1321;401;2.957;122800;NEAR BAY
-122.24;37.8;49;2838,00;749;1487;677;25.238;169300;NEAR BAY
-122.23;37.8;52;783,00;184;488;186;19.375;126600;NEAR BAY
-122.23;37.8;51;1590,00;414;949;392;19.028;127900;NEAR BAY
-122.23;37.8;50;1746,00;480;1149;415;2.25;123500;NEAR BAY
-122.23;37.8;52;1252,00;299;844;280;23.929;111900;NEAR BAY
-122.23;37.79;43;5963,00;1344;4367;1231;21.917;112800;NEAR BAY
-122.23;37.79;52;1783,00;395;1659;412;29.357;107900;NEAR BAY
-122.23;37.79;30;999,00;264;1011;263;18.854;137500;NEAR BAY
-122.24;37.79;39;1469,00;431;1464;389;21.638;105500;NEAR BAY
-122.24;37.79;47;1372,00;395;1237;303;2.125;95500;NEAR BAY
-122.24;37.79;52;674,00;180;647;168;3.375;116100;NEAR BAY
-122.24;37.79;43;1626,00;376;1284;357;22.542;112200;NEAR BAY
-122.25;37.79;51;175,00;43;228;55;2.1;75000;NEAR BAY
-122.25;37.79;39;461,00;129;381;123;1.6;112500;NEAR BAY
-122.25;37.79;52;902,00;237;846;227;3.625;125000;NEAR BAY
-122.26;37.8;20;2373,00;779;1659;676;16.929;115000;NEAR BAY
-122.22;37.77;52;391,00;128;520;138;16.471;95000;NEAR BAY
-122.22;37.77;52;1137,00;301;866;259;2.59;96400;NEAR BAY
-122.23;37.77;52;769,00;206;612;183;2.57;72000;NEAR BAY
-122.23;37.78;52;472,00;146;415;126;26.429;71300;NEAR BAY
-122.23;37.78;52;862,00;215;994;213;30.257;80800;NEAR BAY
-122.22;37.78;50;1920,00;530;1525;477;14.886;128800;NEAR BAY
-122.23;37.78;43;1420,00;472;1506;438;19.338;112500;NEAR BAY
-122.23;37.78;52;986,00;258;1008;255;14.844;119400;NEAR BAY
-122.23;37.78;44;2340,00;825;2813;751;16.009;118100;NEAR BAY
-122.23;37.79;48;1696,00;396;1481;343;20.375;122500;NEAR BAY
-122.23;37.79;49;1175,00;217;859;219;2.293;106300;NEAR BAY
-122.22;37.79;37;2343,00;574;1608;523;21.494;132500;NEAR BAY
-122.23;37.79;30;610,00;145;425;140;16.198;122700;NEAR BAY
-122.23;37.79;40;930,00;199;564;184;13.281;113300;NEAR BAY
-122.22;37.79;44;1487,00;314;961;272;35.156;109500;NEAR BAY
-122.22;37.79;52;3424,00;690;2273;685;39.048;164700;NEAR BAY
-122.21;37.79;52;762,00;190;600;195;30.893;125000;NEAR BAY
-122.22;37.79;46;2366,00;575;1647;527;26.042;124700;NEAR BAY
-122.22;37.79;49;1826,00;450;1201;424;2.5;136700;NEAR BAY
-122.22;37.79;38;3049,00;711;2167;659;27.969;141700;NEAR BAY
-122.2;37.79;29;1640,00;376;939;340;28.321;150000;NEAR BAY
-122.21;37.79;47;1543,00;307;859;292;29.583;138800;NEAR BAY
-122.21;37.79;34;2364,00;557;1517;516;28.365;139200;NEAR BAY
-122.21;37.79;35;1745,00;409;1143;386;2.875;143800;NEAR BAY
-122.21;37.8;39;2003,00;500;1109;464;30.682;156500;NEAR BAY
-122.21;37.8;39;2018,00;447;1221;446;30.757;151000;NEAR BAY
-122.2;37.8;43;3045,00;499;1115;455;49.559;273000;NEAR BAY
-122.2;37.8;52;1547,00;293;706;268;47.721;217100;NEAR BAY
-122.21;37.8;52;3519,00;711;1883;706;34.861;187100;NEAR BAY
-122.2;37.8;41;2070,00;354;804;340;51.184;239600;NEAR BAY
-122.21;37.8;48;1321,00;263;506;252;40.977;229700;NEAR BAY
-122.19;37.8;48;1694,00;259;610;238;4.744;257300;NEAR BAY
-122.19;37.8;46;1938,00;341;768;332;42.727;246900;NEAR BAY
-122.19;37.79;50;968,00;195;462;184;29.844;179900;NEAR BAY
-122.2;37.79;40;1060,00;256;667;235;41.739;169600;NEAR BAY
-122.2;37.8;46;2041,00;405;1059;399;38.487;203300;NEAR BAY
-122.19;37.8;52;1813,00;271;637;277;40.114;263400;NEAR BAY
-122.19;37.79;45;2718,00;451;1106;454;46.563;231800;NEAR BAY
-122.19;37.79;28;3144,00;761;1737;669;29.297;140500;NEAR BAY
-122.2;37.79;35;1802,00;459;1009;390;23.036;126000;NEAR BAY
-122.2;37.79;49;882,00;195;737;210;26.667;122000;NEAR BAY
-122.2;37.79;44;1621,00;452;1354;491;2.619;134700;NEAR BAY
-122.21;37.79;45;2115,00;533;1530;474;24.167;139400;NEAR BAY
-122.2;37.79;45;2021,00;528;1410;480;27.788;115400;NEAR BAY
-122.21;37.78;46;2239,00;508;1390;569;27.352;137300;NEAR BAY
-122.21;37.78;52;1477,00;300;1065;269;18.472;137000;NEAR BAY
-122.21;37.78;52;1056,00;224;792;245;26.583;142600;NEAR BAY
-122.21;37.78;49;898,00;244;779;245;30.536;137500;NEAR BAY
-122.22;37.78;44;2968,00;710;2269;610;23.906;111700;NEAR BAY
-122.21;37.78;43;1702,00;460;1227;407;17.188;126800;NEAR BAY
-122.21;37.78;47;881,00;248;753;241;2.625;111300;NEAR BAY
-122.22;37.77;40;494,00;114;547;135;28.015;114800;NEAR BAY
-122.22;37.78;50;1776,00;473;1807;440;17.276;102300;NEAR BAY
-122.22;37.78;44;1678,00;514;1700;495;20.801;131900;NEAR BAY
-122.22;37.78;51;1637,00;463;1543;393;2.489;119100;NEAR BAY
-122.21;37.76;52;1420,00;314;1085;300;17.546;80600;NEAR BAY
-122.21;37.77;52;591,00;173;353;137;40.904;80600;NEAR BAY
-122.21;37.77;52;745,00;153;473;149;26.765;88800;NEAR BAY
-122.2;37.77;49;2272,00;498;1621;483;24.338;102400;NEAR BAY
-122.21;37.77;46;1234,00;375;1183;354;23.309;98700;NEAR BAY
-122.21;37.77;43;1017,00;328;836;277;22.604;100000;NEAR BAY
-122.19;37.77;42;932,00;254;900;263;18.039;92300;NEAR BAY
-122.2;37.77;39;2689,00;597;1888;537;22.562;94800;NEAR BAY
-122.2;37.77;41;1547,00;415;1024;341;20.562;102000;NEAR BAY
-122.2;37.78;52;2300,00;443;1225;423;35.398;158400;NEAR BAY
-122.2;37.78;39;1752,00;399;1071;376;31.167;121600;NEAR BAY
-122.2;37.78;50;1867,00;403;1128;378;25.401;129100;NEAR BAY
-122.2;37.77;43;2430,00;502;1537;484;2.898;121400;NEAR BAY
-122.21;37.78;44;1729,00;414;1240;393;23.125;102800;NEAR BAY
-122.19;37.78;52;1026,00;180;469;168;2.875;160000;NEAR BAY
-122.19;37.77;52;2170,00;428;1086;425;33.715;143900;NEAR BAY
-122.19;37.77;52;2329,00;445;1144;417;35.114;151200;NEAR BAY
-122.19;37.78;52;2492,00;415;1109;375;43.125;164400;NEAR BAY
-122.19;37.78;52;2198,00;397;984;369;3.22;156500;NEAR BAY
-122.18;37.78;33;142,00;31;575;47;3.875;225000;NEAR BAY
-122.19;37.78;49;1183,00;205;496;209;52.328;174200;NEAR BAY
-122.19;37.78;52;1070,00;193;555;190;37.262;166900;NEAR BAY
-122.2;37.78;45;1766,00;332;869;327;45.893;163500;NEAR BAY
-122.18;37.79;39;617,00;95;236;106;52.578;253000;NEAR BAY
-122.18;37.79;41;1411,00;233;626;214;70.875;240700;NEAR BAY
-122.18;37.79;46;2109,00;387;922;329;39.712;208100;NEAR BAY
-122.19;37.79;47;1229,00;243;582;256;29.514;198100;NEAR BAY
-122.19;37.79;50;954,00;217;546;201;26.667;172800;NEAR BAY
-122.18;37.81;37;1643,00;262;620;266;54.446;336700;NEAR BAY
-122.18;37.8;34;1355,00;195;442;195;62.838;318200;NEAR BAY
-122.18;37.8;23;2317,00;336;955;328;67.527;285800;NEAR BAY
-122.13;37.77;24;2459,00;317;916;324;70.712;293000;NEAR BAY
-122.16;37.79;22;12842,00;2048;4985;1967;59.849;371000;NEAR BAY
-122.17;37.78;42;1524,00;260;651;267;36.875;157300;NEAR BAY
-122.17;37.77;30;3326,00;746;1704;703;2.875;135300;NEAR BAY
-122.18;37.78;43;1985,00;440;1085;407;34.205;136700;NEAR BAY
-122.18;37.78;50;1642,00;322;713;284;32.984;160700;NEAR BAY
-122.17;37.78;49;893,00;177;468;181;3.875;140600;NEAR BAY
-122.17;37.78;52;653,00;128;296;121;4.175;144000;NEAR BAY
-122.16;37.77;47;1256,00;;570;218;4.375;161900;NEAR BAY
-122.16;37.77;48;977,00;194;446;180;47.708;156300;NEAR BAY
-122.16;37.77;45;2324,00;397;968;384;35.739;176000;NEAR BAY
-122.16;37.77;39;1583,00;349;857;316;30.958;145800;NEAR BAY
-122.17;37.77;39;1612,00;342;912;322;33.958;141900;NEAR BAY
-122.17;37.77;31;2424,00;533;1360;452;1.871;90700;NEAR BAY
-122.17;37.76;41;1594,00;367;1074;355;19.356;90600;NEAR BAY
-122.17;37.76;47;2118,00;413;965;382;21.842;107900;NEAR BAY
-122.18;37.76;37;1575,00;358;933;320;22.917;107000;NEAR BAY
-122.17;37.76;38;1764,00;397;987;354;24.333;98200;NEAR BAY
-122.18;37.76;50;1187,00;261;907;246;19.479;89500;NEAR BAY
-122.18;37.76;52;754,00;175;447;165;39.063;93800;NEAR BAY
-122.18;37.76;49;2308,00;452;1299;451;18.407;96700;NEAR BAY
-122.18;37.77;27;909,00;236;396;157;20.786;97500;NEAR BAY
-122.18;37.77;42;1180,00;257;877;268;28.125;97300;NEAR BAY
-122.18;37.76;43;2018,00;408;1111;367;18.913;91200;NEAR BAY
-122.19;37.76;49;1368,00;282;790;269;17.056;91400;NEAR BAY
-122.18;37.77;52;2744,00;547;1479;554;22.768;96200;NEAR BAY
-122.18;37.77;51;2107,00;471;1173;438;32.552;120100;NEAR BAY
-122.18;37.77;52;1748,00;362;1029;366;20.556;100000;NEAR BAY
-122.19;37.76;52;2024,00;391;1030;350;24.659;94700;NEAR BAY
-122.2;37.76;47;1116,00;259;826;279;1.75;85700;NEAR BAY
-122.19;37.77;41;2036,00;510;1412;454;20.469;89300;NEAR BAY
-122.19;37.77;45;1852,00;393;1132;349;27.159;101400;NEAR BAY
-122.19;37.76;41;921,00;207;522;159;12.083;72500;NEAR BAY
-122.19;37.76;45;995,00;238;630;237;1.925;74100;NEAR BAY
-122.2;37.75;36;606,00;132;531;133;15.809;70000;NEAR BAY
-122.2;37.76;37;2680,00;736;1925;667;14.097;84600;NEAR BAY
-122.19;37.76;38;1493,00;370;1144;351;0.7683;81800;NEAR BAY
-122.19;37.75;19;2207,00;565;1481;520;13.194;81400;NEAR BAY
-122.19;37.75;28;856,00;189;435;162;0.8012;81800;NEAR BAY
-122.19;37.76;26;1293,00;297;984;303;19.479;85800;NEAR BAY
-122.19;37.74;36;847,00;212;567;159;11.765;87100;NEAR BAY
-122.18;37.74;42;541,00;154;380;123;23.456;83500;NEAR BAY
-122.19;37.73;44;1066,00;253;825;244;21.538;79700;NEAR BAY
-122.19;37.74;43;707,00;147;417;155;25.139;83400;NEAR BAY
-122.19;37.73;45;1528,00;291;801;287;12.625;84700;NEAR BAY
-122.18;37.73;42;909,00;215;646;198;29.063;80000;NEAR BAY
-122.18;37.73;43;1391,00;293;855;285;25.192;76400;NEAR BAY
-122.18;37.73;44;548,00;119;435;136;21.111;79700;NEAR BAY
-122.18;37.73;42;4074,00;874;2736;780;2.455;82400;NEAR BAY
-122.17;37.74;41;1613,00;445;1481;414;24.028;97700;NEAR BAY
-122.17;37.74;47;463,00;134;327;137;2.15;97200;NEAR BAY
-122.17;37.74;43;818,00;193;494;179;24.776;101600;NEAR BAY
-122.17;37.73;43;1473,00;371;1231;341;21.587;86500;NEAR BAY
-122.18;37.74;35;504,00;126;323;109;18.438;90500;NEAR BAY
-122.17;37.74;46;1026,00;226;749;225;30.298;107600;NEAR BAY
-122.17;37.74;46;769,00;183;693;178;2.25;84200;NEAR BAY
-122.18;37.74;46;2103,00;391;1339;354;22.467;88900;NEAR BAY
-122.18;37.75;45;330,00;76;282;80;40.469;80700;NEAR BAY
-122.18;37.75;46;941,00;218;621;195;1.325;87100;NEAR BAY
-122.17;37.75;38;992,00;;732;259;16.196;85100;NEAR BAY
-122.18;37.75;45;990,00;261;901;260;21.731;82000;NEAR BAY
-122.19;37.75;36;1126,00;263;482;150;19.167;82800;NEAR BAY
-122.18;37.75;43;1036,00;233;652;213;2.069;84600;NEAR BAY
-122.18;37.75;36;1047,00;214;651;166;1.712;82100;NEAR BAY
-122.17;37.76;33;1280,00;307;999;286;25.625;89300;NEAR BAY
-122.17;37.75;43;1587,00;320;907;306;19.821;98300;NEAR BAY
-122.17;37.75;41;1257,00;271;828;230;25.043;92300;NEAR BAY
-122.17;37.75;44;1218,00;248;763;254;23.281;88800;NEAR BAY
-122.17;37.75;48;1751,00;390;935;349;14.375;90000;NEAR BAY
-122.16;37.76;45;2299,00;514;1437;484;25.122;95500;NEAR BAY
-122.16;37.75;38;2457,00;624;1516;482;15.625;91700;NEAR BAY
-122.17;37.75;47;998,00;211;597;185;31.587;100400;NEAR BAY
-122.17;37.76;40;1685,00;343;949;342;18.426;94800;NEAR BAY
-122.16;37.76;46;1827,00;307;881;302;46.696;164300;NEAR BAY
-122.16;37.76;36;2781,00;574;1438;519;24.598;155500;NEAR BAY
-122.15;37.76;39;1823,00;286;763;270;60.749;196900;NEAR BAY
-122.14;37.77;27;2229,00;365;1297;355;48.304;279100;NEAR BAY
-122.14;37.76;34;1513,00;231;545;211;55.701;252800;NEAR BAY
-122.13;37.76;26;3266,00;491;1222;533;5.37;275400;NEAR BAY
-122.12;37.75;33;1809,00;261;808;219;6.86;250000;NEAR BAY
-122.12;37.75;28;794,00;111;329;109;76.923;329800;NEAR BAY
-122.14;37.75;36;690,00;105;299;109;40.313;195500;NEAR BAY
-122.14;37.75;33;1334,00;200;579;202;68.323;255900;NEAR BAY
-122.13;37.75;30;414,00;54;137;50;4.975;311100;NEAR BAY
-122.13;37.75;36;768,00;93;229;93;53.602;330000;NEAR BAY
-122.13;37.74;41;4400,00;666;1476;648;5;248900;NEAR BAY
-122.16;37.75;46;954,00;161;429;154;2.925;142900;NEAR BAY
-122.15;37.75;40;1445,00;256;849;255;38.913;126300;NEAR BAY
-122.15;37.75;44;1938,00;399;946;331;3.225;135800;NEAR BAY
-122.15;37.74;41;856,00;178;571;191;31.458;130600;NEAR BAY
-122.16;37.75;24;1790,00;454;1137;386;2.537;107900;NEAR BAY
